# x l forward_absolute forward_relative backward_absolute backward_relative
0.10 29 1.04083408558608426e-17 3.81733802256526560e-16 9.52120042879059603e-01 3.49197253631650142e+01
0.10 30 0.00000000000000000e+00 0.00000000000000000e+00 3.04815427435600750e-04 2.11249580381910529e-03
0.10 31 1.38777878078144568e-17 6.91659769714532936e-15 2.80432636275247615e+00 1.39765771975096641e+03
0.10 32 0.00000000000000000e+00 0.00000000000000000e+00 1.52238565855705721e-03 1.09219683681948555e-02
0.10 33 1.73472347597680709e-17 5.90026833982345395e-16 5.23597265496094644e-01 1.78089730796151784e+01
0.10 34 0.00000000000000000e+00 0.00000000000000000e+00 1.44983705572623300e-02 1.11961569049683837e-01
0.10 35 2.08166817117216851e-17 3.84855638294226197e-16 2.51691460984537596e-01 4.65323336407967503e+00
0.10 36 1.38777878078144568e-17 1.20436127346331471e-16 3.90896365064068579e-02 3.39233061162421135e-01
0.10 37 1.38777878078144568e-17 1.84147952788591666e-16 1.38555963397641674e-01 1.83853488464203219e+00
0.10 38 1.38777878078144568e-17 1.42595182705985974e-16 7.78703938892799374e-02 8.00123420086912951e-01
0.10 39 1.38777878078144568e-17 1.49795569740347121e-16 7.53112938586917163e-02 8.12903203858833634e-01
0.10 40 1.38777878078144568e-17 1.81189796539851536e-16 1.38522975011186711e-01 1.80856992526134963e+00
0.10 41 2.77555756156289135e-17 2.63043848588093722e-16 3.64508017567553161e-02 3.45449840817553089e-01
0.10 42 1.38777878078144568e-17 2.57392829880273013e-16 2.45798055648866309e-01 4.55884309507208663e+00
0.10 43 1.38777878078144568e-17 1.22033643681104949e-16 1.30759354171175179e-02 1.14982594170457988e-01
0.10 44 2.08166817117216851e-17 6.89165445494022117e-16 5.19592665014427690e-01 1.72018439547192408e+01
0.10 45 1.38777878078144568e-17 1.18443630648267990e-16 1.40434333370731412e-03 1.19857375991384192e-02
0.10 46 2.08166817117216851e-17 3.26785705694106202e-15 6.47880791627966257e+00 1.01706018581522778e+03
0.10 47 1.38777878078144568e-17 1.19702754899800490e-16 3.04245508128284103e-04 2.62426735393216093e-03
0.10 48 2.42861286636752993e-17 1.45355170949305689e-15 6.12153072318684432e-01 3.66380396424036263e+01
0.10 49 1.38777878078144568e-17 1.25862095542446353e-16 7.28732538283380360e-03 6.60910842768943768e-02
0.10 50 2.77555756156289135e-17 7.26475205793320138e-16 2.61100547550884077e-01 6.83405297161152170e+00
0.50 0 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00
0.50 1 0.00000000000000000e+00 0.00000000000000000e+00 1.66666666666666630e-01 3.33333333333333259e-01
0.50 2 0.00000000000000000e+00 0.00000000000000000e+00 7.87500000000000000e+00 6.30000000000000000e+01
0.50 3 0.00000000000000000e+00 0.00000000000000000e+00 2.01086956521738802e-02 4.59627329192545814e-02
0.50 4 0.00000000000000000e+00 0.00000000000000000e+00 1.06406089083419142e-01 3.68107551423720258e-01
0.50 5 0.00000000000000000e+00 0.00000000000000000e+00 4.59880093864468709e+00 5.11866539257843414e+01
0.50 6 0.00000000000000000e+00 0.00000000000000000e+00 1.70037761117590724e-02 5.26038270043543491e-02
0.50 7 0.00000000000000000e+00 0.00000000000000000e+00 8.45623058688543261e-02 3.78957554528257468e-01
0.50 8 0.00000000000000000e+00 0.00000000000000000e+00 3.51113405065532413e+00 4.76804146588784334e+01
